DateTime,SENTIMENT,change
2022-02-12 12:20:00,2.75,0.0
2022-02-12 12:25:00,4.0,-0.5
2022-02-12 12:30:00,3.4444444444444446,0.416992188
2022-02-12 12:35:00,2.375,-0.559997559
2022-02-12 12:40:00,2.5714285714285716,0.200012207
2022-02-12 12:45:00,3.0,-0.107803345
2022-02-12 12:50:00,3.1666666666666665,0.369506836
2022-02-12 12:55:00,3.6666666666666665,-0.307800293
2022-02-12 13:00:00,3.6666666666666665,0.380111694
2022-02-12 13:05:00,4.0,-1.189987183
2022-02-12 13:10:00,4.625,0.160110474
2022-02-12 13:15:00,2.923076923076923,0.190002441
2022-02-12 13:20:00,2.625,0.020004272
2022-02-12 13:25:00,3.6666666666666665,0.063796997
2022-02-12 13:30:00,3.0,-0.229904175
2022-02-12 13:35:00,3.5,0.290008545
2022-02-12 13:40:00,3.25,0.350112915
2022-02-12 13:45:00,3.6,-0.047592163
2022-02-12 13:50:00,2.5,0.113006592
2022-02-12 13:55:00,3.066666666666667,-0.12210083
2022-02-12 14:00:00,3.909090909090909,0.041702271
2022-02-12 14:05:00,3.875,-0.423294067
2022-02-12 14:10:00,3.0,-0.008407593
2022-02-12 14:15:00,3.2857142857142856,0.269989014
2022-02-12 14:20:00,2.3333333333333335,0.01600647
2022-02-12 14:25:00,2.4,0.320007324
2022-02-12 14:30:00,3.5,-0.088897705
2022-02-12 14:35:00,2.875,-0.309997559
2022-02-12 14:40:00,3.4,0.169998169
2022-02-12 14:45:00,3.4,0.205001831
2022-02-12 14:50:00,3.0,0.747406006
2022-02-12 14:55:00,3.142857142857143,0.344894409
2022-02-12 15:00:00,3.5,0.505996704
2022-02-12 15:05:00,3.2857142857142856,0.324996948
2022-02-12 15:10:00,2.3333333333333335,0.5
2022-02-12 15:15:00,4.0,-0.050003052
2022-02-12 15:20:00,2.6,-0.279998779
2022-02-12 15:25:00,3.0,0.080001831
2022-02-12 15:30:00,2.602272727272727,-0.362594604
2022-02-12 15:35:00,4.333333333333333,0.069992065
