date,time,SENTIMENT
03-12-2022,12:15,5
03-12-2022,12:20,4.166666667
03-12-2022,12:25,3.5
03-12-2022,12:30,2.6
03-12-2022,12:35,3
03-12-2022,12:40,1
03-12-2022,12:45,4.5
03-12-2022,12:50,1
03-12-2022,12:55,1.833333333
03-12-2022,13:00,2.5
03-12-2022,13:05,5
03-12-2022,13:10,2.466666667
03-12-2022,13:15,3.666666667
03-12-2022,13:20,2.666666667
03-12-2022,13:25,2
03-12-2022,13:30,2.8
03-12-2022,13:35,3.5
03-12-2022,13:40,2
03-12-2022,13:45,3.333333333
03-12-2022,13:50,3
03-12-2022,13:55,5
03-12-2022,14:00,4.5
03-12-2022,14:05,3.666666667
03-12-2022,14:10,1
03-12-2022,14:15,4
03-12-2022,14:20,5
03-12-2022,14:25,4.2
03-12-2022,14:30,3.4
03-12-2022,14:35,1
03-12-2022,14:40,3.285714286
03-12-2022,14:45,1
03-12-2022,14:50,5
03-12-2022,14:55,4
03-12-2022,15:00,3.875
03-12-2022,15:05,3.75
03-12-2022,15:10,3
03-12-2022,15:15,3
03-12-2022,15:20,3
03-12-2022,15:25,3.461538462
03-12-2022,15:30,4.583333333
03-12-2022,15:35,3.5
03-12-2022,15:40,4
03-12-2022,15:45,3.142857143
03-12-2022,15:50,4.5
03-12-2022,15:55,1.5
04-12-2022,09:30,3.5
04-12-2022,09:35,2.333333333
04-12-2022,09:40,4
04-12-2022,09:45,2.666666667
04-12-2022,09:50,3.666666667
04-12-2022,10:00,4.25
04-12-2022,10:05,4
04-12-2022,10:10,5
04-12-2022,10:15,3
04-12-2022,10:20,3
04-12-2022,10:25,3
04-12-2022,10:30,2
04-12-2022,10:35,4
04-12-2022,10:40,3
04-12-2022,10:45,3
04-12-2022,10:50,3
04-12-2022,10:55,3.5
04-12-2022,11:00,4.333333333
04-12-2022,11:05,2.5
04-12-2022,11:10,3
04-12-2022,11:15,2.875
04-12-2022,11:20,3
04-12-2022,11:25,2.142857143
04-12-2022,11:30,2.625
04-12-2022,11:35,3
04-12-2022,11:40,3
04-12-2022,11:45,2.5
04-12-2022,11:50,1
04-12-2022,11:55,2.666666667
04-12-2022,12:00,3.85
04-12-2022,12:05,2.333333333
04-12-2022,12:10,5
04-12-2022,12:15,3.75
04-12-2022,12:20,3
04-12-2022,12:25,1.8
04-12-2022,12:30,3.333333333
04-12-2022,12:35,1.75
04-12-2022,12:40,3.166666667
04-12-2022,12:45,2
04-12-2022,12:50,3
04-12-2022,12:55,4
04-12-2022,13:00,3
04-12-2022,13:05,4
04-12-2022,13:10,3
04-12-2022,13:15,3.833333333
04-12-2022,13:20,2.25
04-12-2022,13:25,5
04-12-2022,13:30,1
04-12-2022,13:35,3.666666667
04-12-2022,13:40,1.333333333
04-12-2022,13:45,3.6
04-12-2022,13:50,5
04-12-2022,13:55,1
04-12-2022,14:00,2.2
04-12-2022,14:05,1
04-12-2022,14:10,1.777777778
04-12-2022,14:15,3
04-12-2022,14:20,3
04-12-2022,14:25,3
04-12-2022,14:30,3.5
04-12-2022,14:35,5
04-12-2022,14:40,2.6
04-12-2022,14:45,3.333333333
04-12-2022,14:50,2.333333333
04-12-2022,15:00,1
04-12-2022,15:05,3.4
04-12-2022,15:10,1.4
04-12-2022,15:15,2.714285714
04-12-2022,15:20,3.375
04-12-2022,15:25,2.4
04-12-2022,15:30,3.666666667
04-12-2022,15:35,2
04-12-2022,15:40,2
04-12-2022,15:45,2.25
04-12-2022,15:50,2.444444444
04-12-2022,15:55,3
05-12-2022,09:30,1
05-12-2022,09:35,3.75
05-12-2022,09:40,2.75
05-12-2022,09:45,3.222222222
05-12-2022,09:50,4.428571429
05-12-2022,09:55,5
05-12-2022,10:00,3.454545455
05-12-2022,10:05,3.2
05-12-2022,10:10,1
05-12-2022,10:15,3
05-12-2022,10:20,4.2
05-12-2022,10:25,2.2
05-12-2022,10:30,3
05-12-2022,10:35,3.75
05-12-2022,10:40,1
05-12-2022,10:45,3.5
05-12-2022,10:50,3.2
05-12-2022,10:55,3.555555556
05-12-2022,11:00,1.9
05-12-2022,11:05,3.5
05-12-2022,11:10,3.571428571
05-12-2022,11:15,3.384615385
05-12-2022,11:20,3
05-12-2022,11:25,3
05-12-2022,11:30,2.333333333
05-12-2022,11:35,2.75
05-12-2022,11:40,2
05-12-2022,11:45,5
05-12-2022,11:50,2.833333333
05-12-2022,11:55,4
05-12-2022,12:00,1.666666667
05-12-2022,12:05,3
05-12-2022,12:10,2.888888889
05-12-2022,12:15,2.333333333
05-12-2022,12:20,1
05-12-2022,12:25,1.571428571
05-12-2022,12:30,3.666666667
05-12-2022,12:35,2
05-12-2022,12:40,1.090909091
05-12-2022,12:45,3.333333333
05-12-2022,12:50,3.25
05-12-2022,12:55,3.875
05-12-2022,13:00,3.285714286
05-12-2022,13:05,3.5
05-12-2022,13:10,1.25
05-12-2022,13:15,3.285714286
05-12-2022,13:20,2.666666667
05-12-2022,13:25,2.692307692
05-12-2022,13:30,1.666666667
05-12-2022,13:35,5
05-12-2022,13:40,2.571428571
05-12-2022,13:45,2.777777778
05-12-2022,13:50,2
05-12-2022,13:55,3
05-12-2022,14:00,3.153846154
05-12-2022,14:05,1.5
05-12-2022,14:10,1.333333333
05-12-2022,14:15,2.727272727
05-12-2022,14:20,2.5
05-12-2022,14:25,2.285714286
05-12-2022,14:30,2
05-12-2022,14:35,2.75
05-12-2022,14:40,3.375
05-12-2022,14:45,2.125
05-12-2022,14:50,3.277777778
05-12-2022,14:55,2.333333333
05-12-2022,15:00,2.666666667
05-12-2022,15:05,2.5
05-12-2022,15:10,2.714285714
05-12-2022,15:15,2.857142857
05-12-2022,15:20,3.615384615
05-12-2022,15:25,1.4
05-12-2022,15:30,4
05-12-2022,15:35,3
05-12-2022,15:40,1.25
05-12-2022,15:45,2.5
05-12-2022,15:50,3
05-12-2022,15:55,2
06-12-2022,09:30,1
06-12-2022,09:35,3.8
06-12-2022,09:40,3.25
06-12-2022,09:45,3.666666667
06-12-2022,09:50,1
06-12-2022,09:55,3
06-12-2022,10:00,3
06-12-2022,10:05,3.666666667
06-12-2022,10:10,3
06-12-2022,10:15,3
06-12-2022,10:20,5
06-12-2022,10:25,3
06-12-2022,10:40,1
06-12-2022,10:45,4
06-12-2022,10:50,3.666666667
06-12-2022,10:55,2
06-12-2022,11:00,3
06-12-2022,11:05,2.6
06-12-2022,11:10,4
06-12-2022,11:15,2.428571429
06-12-2022,11:20,4.333333333
06-12-2022,11:25,3
06-12-2022,11:30,3.333333333
